Iteration #, Size of Array, Size of Tiles, Time (Seconds)
4, 2000, 143, 31.58
4, 2000, 144, 31.52
4, 2000, 145, 31.58
4, 2000, 146, 31.57
4, 2000, 147, 31.55
4, 2000, 148, 31.55
4, 2000, 149, 31.52
4, 2000, 150, 31.53
4, 2000, 151, 31.52
4, 2000, 152, 31.47
4, 2000, 153, 31.52
4, 2000, 154, 31.54
4, 2000, 155, 31.54
4, 2000, 156, 31.58
4, 2000, 157, 31.58
4, 2000, 158, 31.57
4, 2000, 159, 31.53
4, 2000, 160, 31.53
4, 2000, 161, 31.51
4, 2000, 162, 31.52
4, 2000, 163, 31.52
4, 2000, 164, 31.50
4, 2000, 165, 31.54
4, 2000, 166, 31.55
4, 2000, 167, 31.59
4, 2000, 168, 31.54
4, 2000, 169, 31.57
4, 2000, 170, 31.57
4, 2000, 171, 31.58
4, 2000, 172, 31.59
4, 2000, 173, 31.63
4, 2000, 174, 31.59
4, 2000, 175, 31.60
4, 2000, 176, 31.42
4, 2000, 177, 31.46
4, 2000, 178, 31.46
4, 2000, 179, 31.47
4, 2000, 180, 31.49
4, 2000, 181, 31.46
4, 2000, 182, 31.50
4, 2000, 183, 31.47
4, 2000, 184, 31.44
4, 2000, 185, 31.49
4, 2000, 186, 31.48
4, 2000, 187, 31.49
4, 2000, 188, 31.51
4, 2000, 189, 31.50
4, 2000, 190, 31.52
4, 2000, 191, 31.50
4, 2000, 192, 31.48
4, 2000, 193, 31.47
4, 2000, 194, 31.48
4, 2000, 195, 31.47
4, 2000, 196, 31.46
4, 2000, 197, 31.50
4, 2000, 198, 31.57
4, 2000, 199, 31.50
4, 2000, 200, 31.49
4, 2000, 201, 31.49
4, 2000, 202, 31.54
4, 2000, 203, 31.51
4, 2000, 204, 31.54
4, 2000, 205, 31.54
4, 2000, 206, 31.46
4, 2000, 207, 31.49
4, 2000, 208, 31.43
4, 2000, 209, 31.45
4, 2000, 210, 31.47
4, 2000, 211, 31.45
4, 2000, 212, 31.43
4, 2000, 213, 31.45
4, 2000, 214, 31.44
4, 2000, 215, 31.44
4, 2000, 216, 31.39
4, 2000, 217, 31.40
4, 2000, 218, 31.41
4, 2000, 219, 31.41
4, 2000, 220, 31.46
4, 2000, 221, 31.47
4, 2000, 222, 31.44
4, 2000, 223, 31.48
4, 2000, 224, 31.46
4, 2000, 225, 31.46
4, 2000, 226, 31.51
4, 2000, 227, 31.46
4, 2000, 228, 31.47
4, 2000, 229, 31.49
4, 2000, 230, 31.46
4, 2000, 231, 31.52
4, 2000, 232, 31.45
4, 2000, 233, 31.51
4, 2000, 234, 31.53
4, 2000, 235, 31.50
4, 2000, 236, 31.56
4, 2000, 237, 31.48
4, 2000, 238, 31.47
4, 2000, 239, 31.49
4, 2000, 240, 31.39
4, 2000, 241, 31.42
4, 2000, 242, 31.41
4, 2000, 243, 31.39
4, 2000, 244, 31.41
4, 2000, 245, 31.39
4, 2000, 246, 31.41
4, 2000, 247, 31.41
4, 2000, 248, 31.35
4, 2000, 249, 31.39
5, 2500, 2, 126.93
5, 2500, 3, 77.38
5, 2500, 4, 61.98
5, 2500, 5, 58.13
5, 2500, 6, 56.76
5, 2500, 7, 55.75
5, 2500, 8, 55.79
5, 2500, 9, 55.35
5, 2500, 10, 55.39
5, 2500, 11, 56.20
5, 2500, 12, 56.51
5, 2500, 13, 56.45
5, 2500, 14, 56.43
